pillar,occupation,n_skills,n_groups,exposure,pct_2023,pct_2026,change_pp
recruiting and hiring,Human Resources Managers,16,1,0.422,47.81,49.98,2.17
recruiting and hiring,Financial Managers,16,1,0.422,9.15,9.29,0.14
setting up and protecting computer systems,All,35,3,0.527,1.99,2.55,0.56
setting up and protecting computer systems,Marketing Managers,35,3,0.527,2.78,2.67,-0.11
setting up and protecting computer systems,Human Resources Managers,35,3,0.527,0.94,2.44,1.5
setting up and protecting computer systems,Financial Managers,35,3,0.527,1.27,2.35,1.08
social and behavioural sciences,All,54,4,0.484,40.97,40.72,-0.25
social and behavioural sciences,Marketing Managers,54,4,0.484,40.42,40.7,0.28
social and behavioural sciences,Human Resources Managers,54,4,0.484,54.44,46.19,-8.25
social and behavioural sciences,Financial Managers,54,4,0.484,36.06,38.19,2.13
solving problems,All,42,3,0.461,11.68,12.57,0.89
solving problems,Marketing Managers,42,3,0.461,12.07,10.51,-1.56
solving problems,Human Resources Managers,42,3,0.461,13.47,13.32,-0.15
solving problems,Financial Managers,42,3,0.461,10.35,16.37,6.02
supervising people,All,85,3,0.406,20.31,19.53,-0.78
supervising people,Marketing Managers,85,3,0.406,19.59,18.24,-1.35
supervising people,Human Resources Managers,85,3,0.406,25.17,27.32,2.15
supervising people,Financial Managers,85,3,0.406,19.29,18.47,-0.82
teaching and training,All,125,6,0.452,9.3,8.98,-0.32
teaching and training,Marketing Managers,125,6,0.452,7.68,8.25,0.57
teaching and training,Human Resources Managers,125,6,0.452,12.65,11.31,-1.34
teaching and training,Financial Managers,125,6,0.452,10.28,9.37,-0.91
tending plants and crops,All,16,4,0.497,1.51,1.57,0.06
tending plants and crops,Marketing Managers,16,4,0.497,1.68,1.26,-0.42
tending plants and crops,Human Resources Managers,16,4,0.497,1.68,2.06,0.38
tending plants and crops,Financial Managers,16,4,0.497,1.19,1.96,0.77
"using digital tools for collaboration, content creation and problem solving",All,33,4,0.598,10.62,13.57,2.95
"using digital tools for collaboration, content creation and problem solving",Marketing Managers,33,4,0.598,12.51,14.82,2.31
"using digital tools for collaboration, content creation and problem solving",Human Resources Managers,33,4,0.598,9.99,12.24,2.25
"using digital tools for collaboration, content creation and problem solving",Financial Managers,33,4,0.598,8.07,11.69,3.62
using precision instrumentation and equipment,All,67,7,0.508,1.14,2.12,0.98
using precision instrumentation and equipment,Marketing Managers,67,7,0.508,1.61,3.05,1.44
using precision instrumentation and equipment,Human Resources Managers,67,7,0.508,1.27,1.09,-0.18
using precision instrumentation and equipment,Financial Managers,67,7,0.508,0.4,0.74,0.34
welfare,All,30,3,0.408,10.7,13.8,3.1
welfare,Marketing Managers,30,3,0.408,9.1,13.89,4.79
welfare,Human Resources Managers,30,3,0.408,10.19,16.84,6.65
welfare,Financial Managers,30,3,0.408,13.3,12.17,-1.13
working with others,All,81,7,0.354,10.93,12.9,1.97
working with others,Marketing Managers,81,7,0.354,12.23,14.02,1.79
working with others,Human Resources Managers,81,7,0.354,12.32,14.3,1.98
working with others,Financial Managers,81,7,0.354,8.42,9.96,1.54
writing and composing,All,67,4,0.62,6.51,8.91,2.4
writing and composing,Marketing Managers,67,4,0.62,5.83,7.71,1.88
writing and composing,Human Resources Managers,67,4,0.62,6.59,9.62,3.03
writing and composing,Financial Managers,67,4,0.62,7.49,11.01,3.52
